db,src_table,label,field_key,evidence,reason
eicu,eicu.lab,Pressure Support,Pressure Support,adjudicated:both_agree,pressure support level has no catalog concept; distinct from peep and plateau_pressure
eicu,eicu.lab,WBC's in urine,WBC's in urine,adjudicated:both_agree,"urine microscopy WBC, different specimen from blood wbc"
eicu,eicu.lab,LDL,LDL,adjudicated:both_agree,lipid panel analyte absent from the concept catalog
eicu,eicu.lab,Vancomycin - random,Vancomycin - random,adjudicated:both_agree,"therapeutic drug level, no corresponding concept"
eicu,eicu.lab,prealbumin,prealbumin,adjudicated:both_agree,prealbumin/transthyretin is a different protein from albumin and absent from the catalog
eicu,eicu.lab,Fe,Fe,adjudicated:both_agree,serum iron absent from the concept catalog
eicu,eicu.lab,urinary sodium,urinary sodium,adjudicated:both_agree,"urine specimen sodium, distinct from serum sodium concept"
eicu,eicu.lab,Ferritin,Ferritin,adjudicated:both_agree,ferritin absent from the concept catalog
eicu,eicu.lab,TIBC,TIBC,adjudicated:both_agree,total iron binding capacity absent from the concept catalog
eicu,eicu.lab,Vitamin B12,Vitamin B12,adjudicated:both_agree,vitamin B12 absent from the concept catalog
eicu,eicu.lab,urinary creatinine,urinary creatinine,adjudicated:both_agree,"urine specimen creatinine, distinct from serum creatinine concept"
eicu,eicu.lab,free T4,free T4,adjudicated:both_agree,thyroid hormone absent from the concept catalog
eicu,eicu.lab,ESR,ESR,adjudicated:both_agree,erythrocyte sedimentation rate absent from the concept catalog
eicu,eicu.lab,ethanol,ethanol,adjudicated:both_agree,toxicology analyte absent from the concept catalog
eicu,eicu.lab,folate,folate,adjudicated:both_agree,serum folate absent from the concept catalog
eicu,eicu.lab,Fe/TIBC Ratio,Fe/TIBC Ratio,adjudicated:both_agree,"iron saturation ratio, derived, absent from the concept catalog"
eicu,eicu.lab,cortisol,cortisol,adjudicated:both_agree,serum cortisol absent from the concept catalog
eicu,eicu.nurseCharting,Vital Signs|CVP|CVP,Vital Signs|CVP|CVP,adjudicated:both_agree,central venous pressure has no concept in the catalog (cpp is cerebral perfusion pressure)
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Pain Assessment|Value,Other Vital Signs and Infusions|Pain Assessment|Value,adjudicated:both_agree,"categorical nursing pain assessment text, part of the free-text assessment family; no pain_scale concept exists"
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Pulse Ox  Mode|Value,Other Vital Signs and Infusions|Pulse Ox  Mode|Value,adjudicated:both_agree,"categorical device mode attribute, not a measured quantity"
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Level of Assistance|Value,Other Vital Signs and Infusions|Level of Assistance|Value,adjudicated:both_agree,"nursing functional-assistance assessment, no catalog concept"
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|P.O.|Value,Other Vital Signs and Infusions|P.O.|Value,adjudicated:both_agree,"oral intake volume (0-781 mL) is fluid intake, not in the concept catalog"
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Mental Status Assessment|Value,Other Vital Signs and Infusions|Mental Status Assessment|Value,adjudicated:both_agree,"categorical nursing mental-status assessment text, no catalog concept"
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Respiratory Assessment|Value,Other Vital Signs and Infusions|Respiratory Assessment|Value,adjudicated:both_agree,categorical nursing system assessment free text
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Neurological Assessment|Value,Other Vital Signs and Infusions|Neurological Assessment|Value,adjudicated:both_agree,categorical nursing system assessment free text
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|CV/ PV Assessment|Value,Other Vital Signs and Infusions|CV/ PV Assessment|Value,adjudicated:both_agree,categorical nursing cardiovascular assessment free text
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Gastrointestinal Assessment|Value,Other Vital Signs and Infusions|Gastrointestinal Assessment|Value,adjudicated:both_agree,categorical nursing system assessment free text
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Genitourinary Assessment|Value,Other Vital Signs and Infusions|Genitourinary Assessment|Value,adjudicated:both_agree,categorical nursing system assessment free text
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Integumentary Assessment|Value,Other Vital Signs and Infusions|Integumentary Assessment|Value,adjudicated:both_agree,"skin assessment, explicitly outside the concept catalog"
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Musculoskeletal Assessment|Value,Other Vital Signs and Infusions|Musculoskeletal Assessment|Value,adjudicated:both_agree,categorical nursing system assessment free text
eicu,eicu.nurseCharting,"Other Vital Signs and Infusions|Eye, Ear, Nose, Throat Assessment|Value","Other Vital Signs and Infusions|Eye, Ear, Nose, Throat Assessment|Value",adjudicated:both_agree,categorical nursing system assessment free text
eicu,eicu.nurseCharting,Other Vital Signs and Infusions|Symptoms of Delirium Present|Value,Other Vital Signs and Infusions|Symptoms of Delirium Present|Value,adjudicated:adjudicated,"pure Yes/No nursing-assessment flag with no numeric values, distinct from the 0-7 ordinal delirium_score already filled by Scores|Delirium Scale/Score|Delirium Score"
eicu,eicu.respiratoryCharting,respFlowSettings|TV/kg IBW,respFlowSettings|TV/kg IBW,adjudicated:both_agree,"tidal volume normalized to ideal body weight (mL/kg, p50 7.6) is a derived index, not the tidal_volume quantity"
eicu,eicu.respiratoryCharting,respFlowPtVentData|Mean Airway Pressure,respFlowPtVentData|Mean Airway Pressure,adjudicated:both_agree,mean airway pressure has no catalog concept and differs from peep and plateau_pressure
eicu,eicu.respiratoryCharting,respFlowPtVentData|Peak Insp. Pressure,respFlowPtVentData|Peak Insp. Pressure,adjudicated:both_agree,peak inspiratory pressure (p50 23) is distinct from plateau_pressure and absent from the catalog
eicu,eicu.respiratoryCharting,respFlowSettings|Pressure Support,respFlowSettings|Pressure Support,adjudicated:both_agree,"Pressure support ventilator setting (cmH2O, p50~10) has no counterpart concept in the catalog; peep/plateau_pressure are distinct pressures."
eicu,eicu.respiratoryCharting,respFlowSettings|Flow Sensitivity,respFlowSettings|Flow Sensitivity,adjudicated:both_agree,Ventilator trigger flow-sensitivity setting (p50 3 L/min); no matching concept in the catalog.
eicu,eicu.respiratoryCharting,respFlowCareData|Head of Bed Elevation,respFlowCareData|Head of Bed Elevation,adjudicated:both_agree,"Categorical nursing care/positioning documentation, not a measured physiologic concept in the catalog."
eicu,eicu.respiratoryCharting,respFlowPtVentData|Humidifier Temp,respFlowPtVentData|Humidifier Temp,adjudicated:both_agree,"Circuit humidifier device temperature, not patient body temperature; despite mixed C/F range it is a device attribute, so it must not map to temperature."
eicu,eicu.respiratoryCharting,respFlowPtVentData|Compliance,respFlowPtVentData|Compliance,adjudicated:both_agree,"Respiratory system compliance (mL/cmH2O, p50 37) has no corresponding base_concept in the catalog."
eicu,eicu.vitalPeriodic,st2,st2,adjudicated:both_agree,ECG lead ST-segment deviation from the bedside monitor; no ST-segment concept exists in the catalog.
eicu,eicu.vitalPeriodic,st1,st1,adjudicated:both_agree,ECG lead ST-segment deviation from the bedside monitor; no ST-segment concept exists in the catalog.
eicu,eicu.vitalPeriodic,st3,st3,adjudicated:both_agree,ECG lead ST-segment deviation from the bedside monitor; no ST-segment concept exists in the catalog.
eicu,eicu.vitalPeriodic,cvp,cvp,adjudicated:both_agree,"Central venous pressure has no base_concept in the catalog, and the p99 of 332 mmHg further shows an unfiltered artifact-laden channel."
mimic-iii,mimiciii.CHARTEVENTS,Abdominal Assessment,27,adjudicated:both_agree,"abdominal exam assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Activity,31,adjudicated:both_agree,"nursing mobility/activity assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Activity Tolerance,32,adjudicated:both_agree,"tolerance of activity nursing assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Airway Size,39,adjudicated:both_agree,"airway tube size, equipment attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Airway Type,40,adjudicated:both_agree,"artificial airway device type (ETT/trach), distinct from o2_device and ventilator_type"
mimic-iii,mimiciii.CHARTEVENTS,Anti-Embolism [Device],49,adjudicated:both_agree,"DVT prophylaxis device type, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Assistance Device,54,adjudicated:both_agree,"mobility assistance device, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Behavior,77,adjudicated:both_agree,"behavioral status nursing assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Bowel Sounds,80,adjudicated:both_agree,"bowel sounds auscultation finding, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,CVP,113,adjudicated:both_agree,central venous pressure; no CVP concept exists in the catalog
mimic-iii,mimiciii.CHARTEVENTS,Circulation/SkinInt,127,adjudicated:both_agree,"circulation/skin integrity composite nursing assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Code Status,128,adjudicated:both_agree,"resuscitation/code status administrative attribute, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Diet Type,154,adjudicated:both_agree,"prescribed diet type, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Dorsal PedPulse [Right],156,adjudicated:both_agree,"right dorsalis pedis pulse palpation finding, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,ETT [Mark],157,adjudicated:both_agree,"endotracheal tube depth marking, device attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Education Topic #1,171,adjudicated:both_agree,"patient education topic, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Follows Commands,197,adjudicated:both_agree,"follows-commands neuro screening item, not a GCS subscale value"
mimic-iii,mimiciii.CHARTEVENTS,GI Intub #1 [Type],200,adjudicated:both_agree,"GI tube type, device attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,GI#1 Tube [Status],203,adjudicated:both_agree,"GI tube status, device attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,HOB,210,adjudicated:both_agree,"head-of-bed positioning, nursing care attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Heart Rhythm,212,adjudicated:both_agree,cardiac rhythm category; no rhythm concept in catalog (ectopy_type is a different attribute)
mimic-iii,mimiciii.CHARTEVENTS,High Insp. Pressure,218,adjudicated:both_agree,"high inspiratory pressure alarm limit (p01 25, p50 exactly 40 cmH2O), not a measured airway pressure and no alarm concept exists"
mimic-iii,mimiciii.CHARTEVENTS,High Resp. Rate,219,adjudicated:both_agree,"high respiratory-rate alarm limit (p50 exactly 35), an alarm bound not a measured respiratory rate"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#1 [Type],229,adjudicated:both_agree,"invasive line type, catheter attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#1SiteAppear,232,adjudicated:both_agree,"invasive line site appearance assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#2 [Type],235,adjudicated:both_agree,"second invasive line type, catheter attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Incision/Wound #1,411,adjudicated:both_agree,"incision/wound assessment free text, explicitly outside the catalog"
mimic-iii,mimiciii.CHARTEVENTS,LL Strength/Movement,423,adjudicated:both_agree,"left lower extremity strength assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,LLL Lung Sounds,425,adjudicated:both_agree,"auscultation finding for left lower lobe, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,LU Strength/Movement,426,adjudicated:both_agree,"left upper extremity strength assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,LUL Lung Sounds,428,adjudicated:both_agree,"auscultation finding for left upper lobe, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Level of Conscious,432,adjudicated:both_agree,"nursing level-of-consciousness assessment, distinct from GCS components or delirium scales"
mimic-iii,mimiciii.CHARTEVENTS,Low Exhaled Min Vol,434,adjudicated:both_agree,"low exhaled minute-volume alarm limit (p50 4.4 L/min), an alarm bound rather than measured or set minute ventilation"
mimic-iii,mimiciii.CHARTEVENTS,Mean Airway Pressure,444,adjudicated:both_agree,"mean airway pressure; catalog contains only peep and plateau_pressure, which are different quantities"
mimic-iii,mimiciii.CHARTEVENTS,Oral Care,477,adjudicated:both_agree,"oral care nursing intervention, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Oral Cavity,478,adjudicated:both_agree,"oral cavity inspection finding, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Orientation,479,adjudicated:both_agree,"orientation assessment (oriented x N), no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Pain Location,525,adjudicated:both_agree,"anatomic pain location, modifier attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Position,547,adjudicated:both_agree,"body position category, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Position Change,548,adjudicated:both_agree,"repositioning care item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,PostTib. Pulses [Right],549,adjudicated:both_agree,"right posterior tibial pulse palpation finding, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Precautions,550,adjudicated:both_agree,"nursing isolation/safety precautions, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Pupil Response [Right],584,adjudicated:both_agree,"right pupil reactivity neuro exam item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Pupil Size [Right],585,adjudicated:both_agree,"right pupil size neuro exam item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,RL Strength/Movement,590,adjudicated:both_agree,"right lower extremity strength assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,RLL Lung Sounds,593,adjudicated:both_agree,"auscultation finding for right lower lobe, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,RU Strength/Movement,596,adjudicated:both_agree,"right upper extremity strength assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,RUL Lung Sounds,599,adjudicated:both_agree,"auscultation finding for right upper lobe, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Reason For Restraint,605,adjudicated:both_agree,"documented indication for restraints, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Removed x 5 Mins,610,adjudicated:both_agree,"restraint-release documentation item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Respiratory Pattern,617,adjudicated:both_agree,"qualitative breathing pattern description, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Restraint Location,621,adjudicated:both_agree,"anatomic location of restraints, modifier attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Restraint Type,622,adjudicated:both_agree,"restraint device type, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Restraints Evaluated,623,adjudicated:both_agree,"restraint reevaluation documentation, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Sensitivity-Vent,631,adjudicated:both_agree,"ventilator trigger sensitivity setting, no corresponding catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Side Rails,637,adjudicated:both_agree,"bed side-rail safety item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Skin Integrity,644,adjudicated:both_agree,"skin integrity assessment, explicitly outside the concept catalog"
mimic-iii,mimiciii.CHARTEVENTS,Spontaneous Movement,655,adjudicated:both_agree,"spontaneous movement neuro assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Sputum [Color],656,adjudicated:both_agree,"sputum color descriptor, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Sputum Source,657,adjudicated:both_agree,"sputum collection source, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Support Systems,663,adjudicated:both_agree,"psychosocial support-systems assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Therapeutic Bed,680,adjudicated:both_agree,"specialty bed/support surface equipment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Turn,704,adjudicated:both_agree,"patient turning/repositioning care item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Urine [Color],706,adjudicated:both_agree,"urine color descriptor, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Urine Source,707,adjudicated:both_agree,"urine collection source (catheter/void), no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,calprevflg,742,adjudicated:both_agree,"opaque CareVue flag (constant 1.0, spurious kg unit), not a clinical measurement"
mimic-iii,mimiciii.CHARTEVENTS,Pain Present,1046,adjudicated:both_agree,"binary presence-of-pain flag, not the 0-10 intensity concept pain_score"
mimic-iii,mimiciii.CHARTEVENTS,Range of Motion,1047,adjudicated:both_agree,"range-of-motion mobility assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Pain Assess Method,1087,adjudicated:both_agree,which pain assessment tool was used; catalog has only pain_score and pain_goal
mimic-iii,mimiciii.CHARTEVENTS,Service Type,1125,adjudicated:both_agree,"hospital service line, not the ICU care unit concept first_careunit"
mimic-iii,mimiciii.CHARTEVENTS,GI Prophylaxis [Drug #1],1427,adjudicated:both_agree,"GI prophylaxis drug name; catalog covers only vasoactive drugs, not prophylaxis"
mimic-iii,mimiciii.CHARTEVENTS,Risk for Falls,1484,adjudicated:both_agree,"fall-risk nursing screening, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Alarms,1622,adjudicated:both_agree,"generic alarm-status nursing item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Parameters Checked,1623,adjudicated:both_agree,"documentation checklist item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Health Care Proxy,1703,adjudicated:both_agree,"healthcare-proxy administrative field, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,ABP Alarm [Low],5813,adjudicated:both_agree,"arterial-line low alarm threshold, device limit not a pressure measurement"
mimic-iii,mimiciii.CHARTEVENTS,CVP Alarm [Low],5814,adjudicated:both_agree,CVP low alarm threshold; neither alarms nor CVP itself exist in the catalog
mimic-iii,mimiciii.CHARTEVENTS,HR Alarm [Low],5815,adjudicated:both_agree,"monitor low-HR alarm threshold, a device limit rather than a measured heart rate"
mimic-iii,mimiciii.CHARTEVENTS,NBP Alarm [Low],5817,adjudicated:both_agree,"NBP low alarm threshold, device limit not a blood-pressure measurement"
mimic-iii,mimiciii.CHARTEVENTS,Resp Alarm [Low],5819,adjudicated:both_agree,"low respiratory-rate alarm threshold, device limit not a measured rate"
mimic-iii,mimiciii.CHARTEVENTS,SpO2 Alarm [Low],5820,adjudicated:both_agree,"low SpO2 alarm threshold, device limit not an oximetry reading"
mimic-iii,mimiciii.CHARTEVENTS,Anti-Embolism [Status],8367,adjudicated:both_agree,"anti-embolism device status, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Dorsal PedPulse [Left],8381,adjudicated:both_agree,"left dorsalis pedis pulse palpation finding, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,ETT [Location],8382,adjudicated:both_agree,"endotracheal tube position/location, device attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,GI Intub #1 [Site],8388,adjudicated:both_agree,"GI tube insertion site, device attribute with no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#1 [Site],8392,adjudicated:both_agree,"invasive line insertion site, explicitly outside the concept catalog"
mimic-iii,mimiciii.CHARTEVENTS,PostTib. Pulses [Left],8456,adjudicated:both_agree,"left posterior tibial pulse palpation finding, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Pupil Response [Left],8466,adjudicated:both_agree,"left pupil reactivity neuro exam item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Pupil Size [Left],8467,adjudicated:both_agree,"left pupil size neuro exam item, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Sputum Consistency,8476,adjudicated:both_agree,"sputum consistency descriptor, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Sputum [Amount],8477,adjudicated:both_agree,"sputum amount descriptor, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Urine [Appearance],8480,adjudicated:both_agree,"urine appearance descriptor, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,ABP Alarm [High],8547,adjudicated:both_agree,"arterial-line high alarm threshold, device limit not a pressure measurement"
mimic-iii,mimiciii.CHARTEVENTS,CVP Alarm [High],8548,adjudicated:both_agree,CVP high alarm threshold; neither alarms nor CVP itself exist in the catalog
mimic-iii,mimiciii.CHARTEVENTS,HR Alarm [High],8549,adjudicated:both_agree,"monitor high-HR alarm threshold (discretized at 120), device limit not a measurement"
mimic-iii,mimiciii.CHARTEVENTS,NBP Alarm [High],8551,adjudicated:both_agree,"NBP high alarm threshold (discretized at 160), device limit not a measurement"
mimic-iii,mimiciii.CHARTEVENTS,Resp Alarm [High],8553,adjudicated:both_agree,"high respiratory-rate alarm threshold, device limit not a measured rate"
mimic-iii,mimiciii.CHARTEVENTS,SpO2 Alarm [High],8554,adjudicated:both_agree,"high SpO2 alarm threshold (pinned at 100), device limit not a measurement"
mimic-iii,mimiciii.CHARTEVENTS,Apnea Time Interval,50,adjudicated:both_agree,"ventilator apnea alarm time interval, no matching concept"
mimic-iii,mimiciii.CHARTEVENTS,Back Care,72,adjudicated:both_agree,nursing care intervention documentation
mimic-iii,mimiciii.CHARTEVENTS,Braden Activity,82,adjudicated:both_agree,"Braden pressure-ulcer subscale, skin risk assessment"
mimic-iii,mimiciii.CHARTEVENTS,Braden Frict/Shear,83,adjudicated:both_agree,"Braden pressure-ulcer subscale, skin risk assessment"
mimic-iii,mimiciii.CHARTEVENTS,Braden Mobility,84,adjudicated:both_agree,"Braden pressure-ulcer subscale, skin risk assessment"
mimic-iii,mimiciii.CHARTEVENTS,Braden Moisture,85,adjudicated:both_agree,"Braden pressure-ulcer subscale, skin risk assessment"
mimic-iii,mimiciii.CHARTEVENTS,Braden Nutrition,86,adjudicated:both_agree,"Braden pressure-ulcer subscale, skin risk assessment"
mimic-iii,mimiciii.CHARTEVENTS,Braden Score,87,adjudicated:both_agree,"Braden total score 8-21, no pressure-ulcer risk concept in catalog"
mimic-iii,mimiciii.CHARTEVENTS,Braden SensoryPercep,88,adjudicated:both_agree,"Braden pressure-ulcer subscale, skin risk assessment"
mimic-iii,mimiciii.CHARTEVENTS,CT #1 Dressing,95,adjudicated:both_agree,"chest tube dressing status, device site documentation"
mimic-iii,mimiciii.CHARTEVENTS,Communication,130,adjudicated:both_agree,patient communication ability assessment
mimic-iii,mimiciii.CHARTEVENTS,Compliance (40-60ml),131,adjudicated:both_agree,"respiratory system compliance mL/cmH2O, no compliance concept in catalog"
mimic-iii,mimiciii.CHARTEVENTS,Cough Reflex,137,adjudicated:both_agree,"bedside cough reflex assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,Education Learner,167,adjudicated:both_agree,"patient education learner identification, nursing documentation"
mimic-iii,mimiciii.CHARTEVENTS,Education Readiness,169,adjudicated:both_agree,"education readiness assessment, nursing documentation"
mimic-iii,mimiciii.CHARTEVENTS,Eye Care,183,adjudicated:both_agree,nursing eye care intervention documentation
mimic-iii,mimiciii.CHARTEVENTS,Family Communication,187,adjudicated:both_agree,family communication event documentation
mimic-iii,mimiciii.CHARTEVENTS,GI#1 Tube PlaceCheck,202,adjudicated:both_agree,"enteral tube placement verification, nursing procedure check"
mimic-iii,mimiciii.CHARTEVENTS,Gag Reflex,208,adjudicated:both_agree,"bedside gag reflex assessment, no catalog concept"
mimic-iii,mimiciii.CHARTEVENTS,I:E Ratio,221,adjudicated:both_agree,"inspiratory:expiratory ratio, no I:E concept in catalog"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#1 Zero/Cal,230,adjudicated:both_agree,transducer zero/calibration event for arterial line
mimic-iii,mimiciii.CHARTEVENTS,INV Line#2 Zero/Cal,236,adjudicated:both_agree,transducer zero/calibration event for second invasive line
mimic-iii,mimiciii.CHARTEVENTS,INV Line#2SiteAppear,238,adjudicated:both_agree,"invasive line site appearance, catheter site assessment"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#3 [Type],241,adjudicated:both_agree,"invasive line type, categorical device attribute"
mimic-iii,mimiciii.CHARTEVENTS,INV Line#3SiteAppear,244,adjudicated:both_agree,invasive line site appearance assessment
mimic-iii,mimiciii.CHARTEVENTS,INV#1 WaveformAppear,283,adjudicated:both_agree,arterial line waveform quality assessment
mimic-iii,mimiciii.CHARTEVENTS,INV#2 WaveformAppear,284,adjudicated:both_agree,second arterial line waveform quality assessment
mimic-iii,mimiciii.CHARTEVENTS,IV #1 [Site],294,adjudicated:both_agree,"peripheral IV site descriptor, not a clinical measurement"
mimic-iii,mimiciii.CHARTEVENTS,IV #2 [Site],297,adjudicated:both_agree,second peripheral IV site descriptor
mimic-iii,mimiciii.CHARTEVENTS,IV Site Appear #1,324,adjudicated:both_agree,"IV site appearance assessment, not a measurement"
mimic-iii,mimiciii.CHARTEVENTS,IV Site Appear #2,325,adjudicated:both_agree,IV site appearance assessment
mimic-iii,mimiciii.CHARTEVENTS,ImpSkin Treatment #1,356,adjudicated:both_agree,"impaired skin treatment, wound care intervention"
mimic-iii,mimiciii.CHARTEVENTS,Impaired Skin Site#1,374,adjudicated:both_agree,"impaired skin site, skin assessment"
mimic-iii,mimiciii.CHARTEVENTS,Impaired Skin Site#2,375,adjudicated:both_agree,"second impaired skin site, skin assessment"
mimic-iii,mimiciii.CHARTEVENTS,Inc #1 [Closure],386,adjudicated:both_agree,"incision closure method, wound assessment"
mimic-iii,mimiciii.CHARTEVENTS,Inc #1 [Drainage],392,adjudicated:both_agree,"incision drainage description, wound assessment"
mimic-iii,mimiciii.CHARTEVENTS,Inc #1 [Dressing],398,adjudicated:both_agree,"incision dressing status, wound care documentation"
