db,field_key,label,reason
mimic-iv,227516,PO2 (Mixed Venous),mixed venous PO2 (p50 40 mmHg) is a distinct sampling site from arterial po2 and catalog separates venous variants (svo2)
mimic-iv,229324,CAM-ICU Disorganized thinking,"single CAM-ICU feature (disorganized thinking), not the overall delirium_score or scale identifier"
mimic-iv,50831,pH,标签 pH、dict_category=Blood Gas、单位 units 与目录 ph 完全一致，p01 6.60/p50 7.43/p99 7.81 也符合；但 coverage 仅 0.023，远低于动脉血气 pH 的应有频率，提示这是第二个 pH 项 (很可能为体液 pH，用血气仪测定)，标本存疑故不直接指派。
mimic-iv,51419,Eosinophils,标签仅为Eosinophils且单位%，p50=2%像血常规分类；但覆盖率仅1.05%(血常规嗜酸粒细胞应为高频且已在上轮判定)且p99=44.9%不符合外周血，疑为体液/非血标本分类计数，标本类型无法确认
mimic-iv,224309,Assisted Systole,"采纳B。同一批586个stay同时记录SYS-Unassisted(224652,p50=94.3)与SYS-Assisted(224309,p50=84.7)、PAEDP(224654,p50=52.8)与BAEDP(224311,p50=47.1)、AUG(224310,p50=109.4)、MAP-Assisted(224322,p50=79.9)六个反搏波形标志点,其临床价值恰恰在于assisted与unassisted的差值(用于评估反搏效能)。若按A的逻辑把SYS-Assisted判为sbp,则SYS-Unassisted必须同判sbp,同一患者同一时刻会产生两条口径不同的sbp序列,而AUG(舒张期球囊生成的峰压109mmHg)在目录中无处安放,整族无法一致映射。且rule5的method词表(invasive/noninvasive/set/measured/bedside/unspecified)无位置承载assisted/unassisted之别——这不是测量方式差异(动脉管vs袖带),而是机械装置造成的不同心搏/波形标志点,rule5不适用。现有sbp的18个source pair全部是通用ABP/NBP项(220050/220179/225309等),无一为设备专属标志点。证据冲突性质与unsure_set既有条目(如Pminimum概念上与PEEP重叠但不等价、CAM-ICU子项与delirium_score重叠)同构,故判UNSURE而非UNKNOWN。"
mimic-iv,224311,BAEDP,"采纳B。理由同224309。BAEDP(球囊主动脉舒张末压,DIA-Assisted,p50=47.1)与其配对项PAEDP(DIA-Unassisted,224654,p50=52.8)在同一批586个stay上同时记录,二者之差正是球囊排空产生的后负荷下降幅度。物理量虽同为舒张末动脉压,但作为字段级概念它是IABP反搏波形标志点,与常规dbp口径不同;若判dbp则PAEDP也须判dbp,导致同时刻双值冲突。method词表无assisted/unassisted槽位,映射后该区分将被彻底丢失,属信息破坏而非rule5所说的方式归并。判UNSURE,不进unknown_set作硬负例,避免对合理模型的误惩罚。"
mimic-iv,229659,% Minute Volume,"名称近似 minute_volume, 但本字段为呼吸机 (Hamilton ASV 类) 的 %MinVol 设定值: 无单位记录为百分比, p01/p50/p99=48/110/193, 与目录 minute_volume (L/min, 数值约 5-15) 单位与值域均明显不符; 是目标分钟通气量的百分比设定而非实测分钟通气量, 按规则4降为 UNSURE。"
mimic-iv,225949,NIV Mask,"无创通气面罩类型, 属界面/装置修饰属性; 可能落入 o2_device, 但 MIMIC-IV 另有专门的 O2 Delivery Device 字段, 是否同概念拿不准"
mimic-iv,226846,Feeding Weight,"Feeding Weight (kg, p01/p50/p99=0/68.485/115.26)。与同库实测体重字段直接对比具有决定性:224639 Daily Weight p50=87.45/p99=173.52(已映射 weight)、226512 Admission Weight (Kg) p50=79.09/p99=156.92、226531 Admission Weight (lbs) p50=174.88 lbs≈79.3 kg。本字段中位数低 11–19 kg 且上尾被压缩近 40–58 kg,正是营养计算所用调整体重/理想体重(对肥胖者向下压缩)的分布特征,而非实测体重的平移。参照判例 eicu『TV/kg IBW』被裁 UNKNOWN(『按理想体重归一的派生指标,不是 tidal_volume 本身』)。但本字段标签未言明 IBW/adjusted,实际可能混杂部分实测体重录入(p01=0 提示录入污染),无法确证其与 weight 同一,故按规则 3 判 UNSURE,采纳 B。"
mimic-iv,227578,BiPap Mask,"BiPAP 面罩类型, 界面/装置修饰属性; 与 o2_device 是否同概念拿不准"
mimic-iv,227583,Autoset/CPAP,"Autoset/CPAP (categorical, Respiratory, 3481 行/1135 stay),位于 227577–227583 的 BiPAP/NIV 记录组内。标签为斜杠并列的选项名而非变量名,无法从证据判定其语义:既可能是自动调压(APAP/Autoset)与固定 CPAP 的模式选择(→ ventilator_mode),也可能是家用 PAP 设备类型标记(→ ventilator_type/o2_device 方向),还可能是勾选式使用标记。dtype=categorical 且无取值分布可查,证据不足以定性。目录中存在多个可能对应概念但均无法确证,属规则 3 的『真的拿不准』,判 UNSURE 而非 UNKNOWN(UNKNOWN 需先确知字段是什么、再确认目录无对应),采纳 A。"
mimic-iv,230045,Intellivent (Hamilton Vent Mode),"Intellivent (Hamilton Vent Mode) (numeric, Respiratory, p01/p50/p99=0.0/0.0/1.0)。决定性证据:concepts 中的 ventilator_mode_hamilton 在 gold_pairs.csv 中已由 229314 Ventilator Mode (Hamilton) 承接,其分布为编码型模式索引 p01/p50/p99=4.40/9.0/13.61;本字段值域仅 0/1,与该编码空间完全不兼容,故不能简单等同于同一模式变量(A 的指派会与既有 229314 的映射冲突)。但其归属仍有真实两可性:0/1 既可能是 INTELLiVENT-ASV 启用与否的二元标志(则属设备功能开关,目录无对应),也可能是该字段自身仅含两个模式取值的模式编码(则可归 ventilator_mode_hamilton)。缺少取值字典无法判别,按规则 3 判 UNSURE,采纳 B。"
mimic-iv,224706,P Low (APRV),"APRV 低压相设定压力(cmH2O)。功能上类似呼气末基线压, p50=5 与 PEEP 常见值吻合, 但 p99=32.08 作为'低压'在临床上不合理(会超过多数 P High), 值域提示条目使用不一致; 按'值域不合时降为 UNSURE'处理, 不直接指派 peep。"
mimic-iv,228335,CAM-ICU Disorganized thinking,"CAM-ICU 谵妄评估的第 3 项特征(思维紊乱), 0/1。目录里有 delirium_score/delirium_scale, 但本字段是单条特征而非总体评分或量表名称; 参照目录把 gcs 与 gcs_eyes/motor/verbal 分列的做法, 分项应属独立概念而目录未收录该分项——证据不足以判定与 delirium_score 为同一概念, 标 UNSURE 待裁定。"
mimic-iv,228878,PeCO2,"PeCO2 为混合呼出气 CO2 分压(用于死腔分数计算), 与目录 etco2(呼气末 CO2)在生理上并非同一量(PeCO2 通常低于 ETCO2); 但单位 mmHg、p50=35 又与 ETCO2 典型值重合, 无法确证条目实际记录的是哪一个, 标 UNSURE。"
mimic-iii,176,Epi Infusion Rate,"'Epi' is ambiguous between epinephrine and epidural. Evidence favours epidural analgesia infusion rate: no unit recorded, it sits in CHARTEVENTS (MIMIC-III vasopressor drip rates live in INPUTEVENTS_CV, and epinephrine for MIMIC-III is already covered there in mcg/min), and its stay count (n_keys 434) is essentially identical to itemid 180 Epidural Medication (433) and close to 179 Epidural Location (410), indicating the same patient set. p50 8 with p99 15.8 fits an epidural ml/hr rate as well as a mcg/min epinephrine rate, so the drug identity cannot be confirmed."
mimic-iii,225667,Ionized Calcium,"Ionized (free) calcium, mmol/L with p01 0.88 / p50 1.13 / p99 1.42 — the correct ionized range, and an order of magnitude away from total calcium in the same units (2.2-2.6 mmol/L). Evidence is genuinely conflicting: the auto pipeline mapped the analogous free-calcium items (50808) to catalog calcium, but both prior human passes marked Ionized Calcium UNSURE for MIMIC-III 816 and MIMIC-IV 225667 as a distinct analyte. Keeping the same verdict for consistency."
mimic-iii,60,Auto-PEEP Level,"Auto-PEEP Level (内源性 PEEP, p50 2.0 cmH2O) 与目录 peep(设置/总呼气末正压) 是相关但不同的临床量，且值域偏低，拿不准是否应合并"
mimic-iii,68,BIPAP-Mode,"维持 B。此行与第 64 行结论不同并不矛盾, 分界在于数值量 vs 分类词表: 数值型被测量跨设备可合并 (peep), 分类型概念在本目录中已有按设备拆分的既成事实——ventilator_mode 与 ventilator_mode_hamilton 并列存在, 且目录另有 ventilator、ventilator_type 等细粒度条目, 说明本体在通气设备域未做跨设备归并。BiPAP 模式取值域 (S / S-T / T / CPAP) 与有创呼吸机模式 (AC / SIMV / PSV 等) 基本不相交, 合并后无法汇总为一个可用的分类变量。加之工作表未给出该字段的具体取值样本 (dtype=categorical, 无 unit 无分位数), 无法核验词表重叠程度。语义相近但证据不足以达到规则 1 的'确信同一概念', 判 UNSURE。"
mimic-iii,227516,PO2 (Mixed Venous),PO2 (Mixed Venous)，mmHg，p50 36、p01 24，为混合静脉血氧分压；单位与 po2 一致但值域是静脉水平，而目录已把 svo2 与 so2 分列，故无法确定应否并入 po2
mimic-iii,50855,Absolute Hemoglobin,"名称含 hemoglobin, 值 7.3 也落在贫血范围, 但 dict_category=Chemistry, 且 n_rows/n_keys(984/913)与 50854 Absolute A1c 完全一致, p01=p50=p99=7.3 退化为常数, 提示为A1c/血红蛋白电泳配套项而非CBC血红蛋白。证据不足以确认与 hemoglobin 同一概念。"
eicu,PTT ratio,PTT ratio,"Derived aPTT ratio (unitless, p50 1.14), not a clotting time in seconds. The catalog treats the ratio form of a clotting time as a separate concept (pt in sec vs inr as ratio), so mapping to ptt (sec) conflicts on unit and value range; no ptt_ratio concept exists. Downgraded to UNSURE per the unit-mismatch rule."
eicu,respFlowCareData|RT Vent On/Off,respFlowCareData|RT Vent On/Off,"采纳 B。核查 gold_pairs.csv 后确认：目录概念 ventilator 在 mimic-iii 与 mimic-iv 两库都唯一锚定于 LABEVENTS itemid 50828，field_catalog_m3cv.csv 显示其 dict_category='Blood Gas'、categorical、40219 行、无单位、无取值集合，且概念 status 仍为 needs_adjudication。A 主张的'该概念就是二值的是否上机标志'并无任何证据支撑——50828 的取值语义在源 ETL(blood_gas_first_day.sql / pivoted_bg.sql)中本就未界定，既可能是上机与否的标志，也可能是采血时的通气支持方式描述文本。本行是呼吸治疗流程表(respFlowCareData)中的呼吸机开/关状态记录（48838 行/2032 stay，约 24 次/stay，属周期性状态记录），本地无 parquet 原始数据可取其取值集合。两侧都缺取值证据，支持配对的只剩名称含 'Vent' 的相似性，恰是规则 4 明令不可依赖的依据；且血气标本属性字段与呼吸治疗状态时间线在语义层级上是否可视作同一概念的不同记录方式，本身存疑。concepts_still_needed.csv 中列有 'eicu,ventilator' 的缺口，但按规则 3 不得为填补缺口而猜测。故维持 UNSURE。"
eicu,cardiacinput,cardiacinput,"The eICU vitalAperiodic column name suggests a cardiac index counterpart to cardiacoutput, but the distribution refutes it: p01 0.0, p50 0.0 and p99 151.2, whereas cardiac index must sit near 2.5-4.0 L/min/m2. The column is overwhelmingly zero/unpopulated with implausible upper values, so the value range is clearly inconsistent with ci and the field cannot be confidently identified."
